Customer Abbreviation,Customer Po,Customer Po Line,Date Entered,Order No,Due Date Code,Part No,Description, Revised Due Date ,ESD,Qty Open,Unit Price,Total Value Open,Qty Resvered,Qty Picked,Qty Backordered
557,151561-REPLACING-PTP1,1,"Thursday, February 2, 2023",653995,S1,307676700,CAMSHAFT,45019,45033,4,1092.78,4371.12,0,0,4
62595,171946-SAFETY STOCK Q4,5,"Thursday, September 29, 2022",640119,TS,FS5301400MX,FUEL FILTER STACKED ELEMAX,44865,,24,130.83,3139.92,0,0,0
62595,175826-IOF-TDM,1,"Monday, November 14, 2022",645030,TS,FS2002800MF,FUEL FILTER SPIN-ON/FUEL CARTRG KIT,44952,45012,12,16.82,201.84,12,0,0
62595,176438-IOF-LTN1,1,"Wednesday, November 23, 2022",646149,TS,LF0395900,OIL FILTER CELLULOSE SPINON,44921,45027,12,5.43,65.16,0,0,12
62595,176560-IOF-LTN,1,"Wednesday, November 23, 2022",646169,TS,AF0089100JX NF,AIR FILTER-PRIMARY,44963,45019,1,110.81,110.81,0,0,1
62595,177285-IOF-DTHG,1,"Friday, December 2, 2022",647250,TS,CC0260200 B,COOLANT TEST STRIPS,44928,44984,100,1.12,112,0,0,100
62595,177405-IOF-HVM,1,"Monday, December 5, 2022",647407,TS,FS0108100,FUEL SEPARATOR GLASS BOX FILTER,44931,45012,6,9.3,55.8,0,0,6
62595,177664-IOF-DTH,1,"Thursday, December 8, 2022",647891,TS,AF2570800 M,AIR FILTER-RADIAL SEAL PRIMARY,44935,44998,2,62.83,125.66,2,0,0
62595,179252-IOF-LTN,3,"Thursday, December 29, 2022",650270,TS,AH0119600,AIR HOUSING-STANDARD,44956,45012,3,38.42,115.26,3,0,0
62595,179252-IOF-LTN,5,"Thursday, December 29, 2022",650270,TS,LF0395900,OIL FILTER CELLULOSE SPINON,44956,45036,12,5.43,65.16,0,0,12
62595,179811-BT-PTP,3,"Monday, January 9, 2023",651268,TS,AF2570800,AIR FILTER-RADIAL SEAL PRIMARY,44966,45012,7,62.74,439.18,7,0,0
62595,180739-IOF-BTD,1,"Monday, January 30, 2023",653539,TS,HF0683600,HYDRAULIC SPIN-ON SYNTHETIC,45029,45036,12,39.47,473.64,0,0,0
62595,180760-SS-Q1-23-LTN,1,"Monday, January 30, 2023",653575,TS,FS0128000,FUEL SEPARATOR SPINON STRATAPORE,44987,44994,12,5.92,71.04,12,0,0
62595,180760-SS-Q1-23-LTN,2,"Monday, January 30, 2023",653575,TS,AF2570800 M,AIR FILTER-RADIAL SEAL PRIMARY,44987,,60,62.83,3769.8,0,0,0
62595,180760-SS-Q1-23-LTN,3,"Monday, January 30, 2023",653575,TS,AF2617300,AIR FILTER-PRIMARY,44987,44994,4,77.98,311.92,4,0,0
62595,180760-SS-Q1-23-LTN,4,"Monday, January 30, 2023",653575,TS,FS0100000,FUEL SEPARATOR SPINON STRATAPORE,44987,44994,24,9.41,225.84,24,0,0
62595,180760-SS-Q1-23-LTN,5,"Monday, January 30, 2023",653575,TS,LF0905000,OIL FILTER COMBO SPINON,44987,44994,60,48.87,2932.2,60,0,0
62595,180760-SS-Q1-23-LTN,6,"Monday, January 30, 2023",653575,TS,FF0016700,FUEL FILTER CARTRIDGE METAL,44987,44994,12,2.98,35.76,12,0,0
62595,180760-SS-Q1-23-LTN,7,"Monday, January 30, 2023",653575,TS,FS1951900,FUEL SEPARATOR SPINON STRATAPORE,44987,44994,12,12.95,155.4,12,0,0
62595,180760-SS-Q1-23-LTN,8,"Monday, January 30, 2023",653575,TS,FF0546100,FUEL FILTER SPINON,44987,44994,12,8.3,99.6,12,0,0
62595,180855-SERSS-Q2-23,1,"Wednesday, February 1, 2023",653869,SX,FF0558000,FUEL FILTER SPINON,45051,45058,12,10.33,123.96,0,0,0
62595,180855-SERSS-Q2-23,2,"Wednesday, February 1, 2023",653869,SX,CC0286900,ES COMPLEAT PG PREMIX,45051,45058,50,66.48,3324,0,0,0
62595,180855-SERSS-Q2-23,3,"Wednesday, February 1, 2023",653869,SX,LF1400000MX NN,OIL FILTER COMBO SPINON,45051,,12,32.06,384.72,0,0,0
62595,180855-SERSS-Q2-23,4,"Wednesday, February 1, 2023",653869,SX,AF2570800 M,AIR FILTER-RADIAL SEAL PRIMARY,45051,,60,62.83,3769.8,0,0,0
62595,180855-SERSS-Q2-23,5,"Wednesday, February 1, 2023",653869,SX,AF2617300,AIR FILTER-PRIMARY,45051,45058,4,77.98,311.92,0,0,0
62595,180855-SERSS-Q2-23,6,"Wednesday, February 1, 2023",653869,SX,FS0100000,FUEL SEPARATOR SPINON STRATAPORE,45051,,24,9.41,225.84,0,0,0
62595,180855-SERSS-Q2-23,7,"Wednesday, February 1, 2023",653869,SX,LF0905000,OIL FILTER COMBO SPINON,45051,45058,60,48.87,2932.2,0,0,0
