Index,Part Code,SAP Code,Material Description,Part Type,Packaging,Final Code,Noted,Dup check,Final Part Type,10-12M,13-24M,25-36M,>36M,Old SAP code,Program,Part type Detail,IDN
191,0193-0351,600004180,193-0351 - GAUGE COOLANT TEMP,New parts,1,0193-0351,,1,Parts,,,,,,,New parts,
192,0193-0352,600044583,193-0352-LUBE OIL PRESSURE GAUGE,New parts,1,0193-0352,,1,Parts,,,,,,,New parts,
193,0193-0375,600004181,193-0375 - SENDER WATER TEMP,New parts,1,0193-0375,,1,Parts,,,,,,,New parts,
194,0193-0388,600026905,193-0388 - OIL TEMPERATURE SENDER,New parts,1,0193-0388,,1,Parts,,,,,,,New parts,
195,0193-0429-01,600029801,193-0429-01-SENDER-WATER TEMP,New parts,1,0193-0429-01,,1,Parts,,,,,,,New parts,
196,0193-0430-01,600000393,193-0430-01-Sender Oil Pressure,New parts,1,0193-0430-01,,1,Parts,,,,,,,New parts,
197,0193-0432,600009986,193-0432 - SENDER - TEMP,New parts,1,0193-0432,,1,Parts,,,,,,,New parts,
198,0193-0435,600026906,193-0435 - GAUGE-OIL TEMP,New parts,,0193-0435,,1,Parts,,,,,,,New parts,
199,0193-0444,600007423,193-0444 - SENDER OIL PRESSURE,New parts,1,0193-0444,,1,Parts,,,,,,,New parts,
200,0193-0446,600010210,193-0446 - SENDER -EXH GASKET TEMP,New parts,1,0193-0446,,1,Parts,,,,,,,New parts,
201,0193-0446-02,600071894,193-0446-02- CAM BIEN NHIET DO,New parts,1,0193-0446-02,,1,Parts,,,,,,,New parts,
202,0193-0447-01,600067215,"193-0447-01-SENDER, WATER TEMP",New parts,1,0193-0447-01,,1,Parts,,,,,,,New parts,
203,0193-0448,600014303,193-0448 -SENDER-OIL PRESSURE,New parts,1,0193-0448,,1,Parts,,,,,,,New parts,
204,0193-0465,600018361,193-0465 - SENDER-TEMP,New parts,1,0193-0465,,1,Parts,,,,,,,New parts,
205,0193-0466,600004182,"193-0466 - GAUGE, OIL PRESSURE",New parts,1,0193-0466,,1,Parts,,,,,,,New parts,
206,0193-0481,600003848,193-0481 - Sender - Low Coolant,New parts,1,0193-0481,,1,Parts,,,,,,,New parts,
207,0193-0529-01,600000403,193-0529-01 Sensor Temperature,New parts,1,0193-0529-01,,1,Parts,,,,,,,New parts,
208,0193-0529-02,600080428,0193-0529-02 - SENSOR-TEMPERATURE,New parts,1,0193-0529-02,,1,Parts,,,,,,,New parts,
209,0193-0558,600021152,193-0558- SENSOR COOLANT LEVER,New parts,,0193-0558,,1,Parts,,,,,,,New parts,
210,0193-0568,600080026,0193-0568 - SENSOR-LEVEL,New parts,1,0193-0568,,1,Parts,,,,,,,New parts,
211,0193-0609,600020062,193-0609 - SENSOR TEMPERATURE,New parts,1,0193-0609,,1,Parts,,,,,,,New parts,
212,0193-0610,600026845,"193-0610- SENSOR, LUBE OIL PRESSURE",New parts,1,0193-0610,,1,Parts,,,,,,,New parts,
213,0193-0648,600027860,193-0648- SENSOR TEMPERATURE,New parts,1,0193-0648,,1,Parts,,,,,,,New parts,
214,0200-3259,600033368,200-3259- Generator Assembly,New parts,1,0200-3259,,1,Parts,,,,,,,New parts,
215,0200-3374,600078937,0200-3374 - ALTERNATOR P1,New parts,1,0200-3374,,1,Parts,,,,,,,New parts,
216,0201-3508,600078609,0201-3508 -  ROTOR ASSY (EXCTR),New parts,,0201-3508,,1,Parts,,,,,,,New parts,
217,02020-00,600085373,02020-00-WATER SENSOR,New parts,,02020-00,,1,Parts,,,,,,,New parts,
218,02025-00,600081512,02025-00 - Water Temperature Sender,New parts,,02025-00,,1,Parts,,,,,,,New parts,
