Material,Material Description,Material type,Plant,Storage location,Material Group,DF stor. loc. level,Base Unit of Measure,Unrestricted,Currency,Value Unrestricted,Transit and Transfer,Val. in Trans./Tfr,Quality Inspection,Value in QualInsp.,Restricted-Use Stock,Value Restricted,Blocked,Value BlockedStock,Returns,Value Rets Blocked
600000629,3016760-Bearing Con Rod,ZSP,VNT0,1100,7063,,PC,12,VND,"5,625,973",0,0,0,0,0,0,0,0,0,0
600000632,"3016792-Seal, Oil",ZSP,VNT0,1100,7063,,PC,15,VND,"8,862,395",0,0,0,0,0,0,0,0,0,0
600000635,3016826-CON LAN,ZSP,VN49,1100,7063,,PC,60,VND,"11,635,091",0,0,0,0,0,0,0,0,0,0
600000640,3017759-Insert Valve,ZSP,VN49,1100,7063,,PC,60,VND,"7,069,613",0,0,0,0,0,0,0,0,0,0
600000640,3017759-Insert Valve,ZSP,VN49,1100,7063,,PC,60,VND,"7,069,613",0,0,0,0,0,0,0,0,0,0
600000662,"3021420-Sol, Pump",ZSP,VN49,1100,7063,,PC,2,VND,"1,724,417",0,0,0,0,0,0,0,0,0,0
600000662,"3021420-Sol, Pump",ZSP,VNT0,1100,7063,,PC,1,VND,"862,208",0,0,0,0,0,0,0,0,0,0
600000671,"3022197-Injector, Ptd less",ZSP,VN49,1100,7063,,PC,2,VND,"5,298,955",0,0,0,0,0,0,0,0,0,0
600000671,"3022197-Injector, Ptd less",ZSP,VN49,1100,7063,,PC,50,VND,"132,473,866",0,0,0,0,0,0,0,0,0,0
600000695,3028291-Seal O Ring,ZSP,VN49,1100,7063,,PC,20,VND,"938,948",0,0,0,0,0,0,0,0,0,0
600000695,3028291-Seal O Ring,ZSP,VNT0,1100,7063,,PC,2,VND,"79,671",0,0,0,0,0,0,0,0,0,0
600000695,3028291-Seal O Ring,ZSP,VNT0,1100,7063,,PC,12,VND,"478,028",0,0,0,0,0,0,0,0,0,0
600000709,"3033248-Seal, Oring",ZSP,VN49,1100,7063,,PC,1,VND,"159,728",0,0,0,0,0,0,0,0,0,0
600000722,3034855-Gasket Rkr lever housing,ZSP,VN49,1100,7063,,PC,1,VND,"1,001,494",0,0,0,0,0,0,0,0,0,0
600000722,3034855-Gasket Rkr lever housing,ZSP,VNT0,1100,7063,,PC,1,VND,"1,001,494",0,0,0,0,0,0,0,0,0,0
600000730,"3036933-Roller, cam follower",ZSP,VN49,1100,7063,,PC,120,VND,"24,895,316",0,0,0,0,0,0,0,0,0,0
600000760,3043909-Bushing engine con,ZSP,VN49,1100,7063,,PC,12,VND,"11,146,284",0,0,0,0,0,0,0,0,0,0
600000775,"3047188-Seal, Ractangular ring",ZSP,VN49,1100,7063,,PC,5,VND,"457,047",0,0,0,0,0,0,0,0,0,0
600000793,"3050692-Switch, magnetic",ZSP,VN49,1100,7063,,PC,14,VND,"26,984,629",0,0,0,0,0,0,0,0,0,0
600000793,"3050692-Switch, magnetic",ZSP,VNT0,1100,7063,,PC,6,VND,"11,220,141",0,0,0,0,0,0,0,0,0,0
600000813,3053126-Injector,ZSP,VN49,1100,7063,,PC,44,VND,"119,767,722",0,0,0,0,0,0,0,0,0,0
600000813,3053126-Injector,ZSP,VN49,1100,7063,,PC,18,VND,"48,995,886",0,0,0,0,0,0,0,0,0,0
600000813,3053126-Injector,ZSP,VN49,1100,7063,,PC,60,VND,"163,319,621",0,0,0,0,0,0,0,0,0,0
600000813,3053126-Injector,ZSP,VN49,1100,7063,,PC,60,VND,"163,319,621",0,0,0,0,0,0,0,0,0,0
